input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	uniq_SCG_hits	perc_comp	perc_redund
GCF_000007705.1	GCF_000007705.1	ASM770v1	243365	Chromobacterium violaceum ATCC 12472	strain=ATCC 12472	latest	Complete Genome	14	93.33	0.00
GCF_000007745.1	GCF_000007745.1	ASM774v1	221988	[Mannheimia] succiniciproducens MBEL55E	strain=MBEL55E	latest	Complete Genome	14	93.33	0.00
GCF_000007945.1	GCF_000007945.1	ASM794v1	233412	[Haemophilus] ducreyi 35000HP	strain=35000HP	latest	Complete Genome	14	93.33	0.00
GCF_000007905.1	GCF_000007905.1	ASM790v1	235279	Helicobacter hepaticus ATCC 51449	strain=ATCC 51449	latest	Complete Genome	14	93.33	0.00
GCF_000007865.1	GCF_000007865.1	ASM786v1	262316	Mycobacterium avium subsp. paratuberculosis K-10	strain=K-10	latest	Complete Genome	14	93.33	0.00
GCF_000008025.1	GCF_000008025.1	ASM802v1	163164	Wolbachia endosymbiont of Drosophila melanogaster	strain=wMel	latest	Complete Genome	14	93.33	0.00
GCF_000008045.1	GCF_000008045.1	ASM804v1	257363	Rickettsia typhi str. Wilmington	strain=Wilmington	latest	Complete Genome	14	93.33	0.00
GCF_000008205.1	GCF_000008205.1	ASM820v1	262719	Mycoplasma hyopneumoniae J	strain=J	latest	Complete Genome	14	93.33	0.00
GCF_000008265.1	GCF_000008265.1	ASM826v1	263820	Picrophilus torridus DSM 9790	strain=DSM 9790	latest	Complete Genome	14	93.33	0.00
GCF_000008325.1	GCF_000008325.1	ASM832v1	243233	Methylococcus capsulatus str. Bath	strain=Bath	latest	Complete Genome	14	93.33	0.00
GCF_000008345.1	GCF_000008345.1	ASM834v1	267747	Cutibacterium acnes KPA171202	strain=KPA171202	latest	Complete Genome	14	93.33	0.00
GCF_000008365.1	GCF_000008365.1	ASM836v1	267748	Mycoplasma mobile 163K	strain=163K	latest	Complete Genome	14	93.33	0.00
GCF_000008385.1	GCF_000008385.1	ASM838v1	292805	Wolbachia endosymbiont strain TRS of Brugia malayi	NA	latest	Complete Genome	14	93.33	0.00
GCF_000008465.1	GCF_000008465.1	ASM846v1	283942	Idiomarina loihiensis L2TR	strain=L2TR	latest	Complete Genome	14	93.33	0.00
GCF_000008645.1	GCF_000008645.1	ASM864v1	187420	Methanothermobacter thermautotrophicus str. Delta H	strain=Delta H	latest	Complete Genome	14	93.33	0.00
GCF_000008885.1	GCF_000008885.1	ASM888v1	36870	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	NA	latest	Complete Genome	14	93.33	0.00
GCF_000008665.1	GCF_000008665.1	ASM866v1	224325	Archaeoglobus fulgidus DSM 4304	strain=DSM 4304	latest	Complete Genome	14	93.33	0.00
GCF_000009125.1	GCF_000009125.1	ASM912v1	267608	Ralstonia solanacearum GMI1000	strain=GMI1000	latest	Complete Genome	14	93.33	0.00
GCF_000009145.1	GCF_000009145.1	ASM914v1	228410	Nitrosomonas europaea ATCC 19718	strain=ATCC 19718	latest	Complete Genome	14	93.33	0.00
GCF_000009545.1	GCF_000009545.1	ASM954v1	218495	Streptococcus uberis 0140J	strain=0140J	latest	Complete Genome	14	93.33	0.00
GCF_000009365.1	GCF_000009365.1	ASM936v1	393595	Alcanivorax borkumensis SK2	strain=SK2	latest	Complete Genome	14	93.33	0.00
GCF_000009765.2	GCF_000009765.2	ASM976v2	227882	Streptomyces avermitilis MA-4680 = NBRC 14893	strain=MA-4680	latest	Complete Genome	14	93.33	0.00
GCF_000009845.1	GCF_000009845.1	ASM984v1	262768	Onion yellows phytoplasma OY-M	strain=onion yellows	latest	Complete Genome	12	80.00	0.00
GCF_000009825.1	GCF_000009825.1	ASM982v1	66692	Bacillus clausii KSM-K16	strain=KSM-K16	latest	Complete Genome	14	93.33	0.00
GCF_000009865.1	GCF_000009865.1	ASM986v1	279808	Staphylococcus haemolyticus JCSC1435	strain=JCSC1435	latest	Complete Genome	14	93.33	0.00
GCF_000009905.1	GCF_000009905.1	ASM990v1	292459	Symbiobacterium thermophilum IAM 14863	strain=IAM14863	latest	Complete Genome	14	93.33	0.00
GCF_000009945.1	GCF_000009945.1	ASM994v1	264202	Chlamydia felis Fe/C-56	strain=Fe/C-56	latest	Complete Genome	14	93.33	0.00
GCF_000009965.1	GCF_000009965.1	ASM996v1	69014	Thermococcus kodakarensis KOD1	strain=KOD1	latest	Complete Genome	14	93.33	0.00
GCF_000009985.1	GCF_000009985.1	ASM998v1	342108	Magnetospirillum magneticum AMB-1	strain=AMB-1	latest	Complete Genome	14	93.33	0.00
GCF_000010065.1	GCF_000010065.1	ASM1006v1	269084	Synechococcus elongatus PCC 6301	strain=PCC 6301	latest	Complete Genome	14	93.33	0.00
GCF_000010125.1	GCF_000010125.1	ASM1012v1	342451	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	strain=ATCC 15305	latest	Complete Genome	14	93.33	0.00
GCF_000010145.1	GCF_000010145.1	ASM1014v1	334390	Lactobacillus fermentum IFO 3956	strain=IFO 3956	latest	Complete Genome	14	93.33	0.00
GCF_000010165.1	GCF_000010165.1	ASM1016v1	358681	Brevibacillus brevis NBRC 100599	strain=NBRC 100599 (= 47)	latest	Complete Genome	14	93.33	0.00
GCF_000010185.1	GCF_000010185.1	ASM1018v1	334413	Finegoldia magna ATCC 29328	strain=ATCC 29328	latest	Complete Genome	14	93.33	0.00
GCF_000010285.1	GCF_000010285.1	ASM1028v1	378753	Kocuria rhizophila DC2201	strain=DC2201 (= NBRC 103217)	latest	Complete Genome	14	93.33	0.00
GCF_000010305.1	GCF_000010305.1	ASM1030v1	379066	Gemmatimonas aurantiaca T-27	strain=T-27	latest	Complete Genome	14	93.33	0.00
GCF_000010405.1	GCF_000010405.1	ASM1040v1	412965	Candidatus Vesicomyosocius okutanii HA	strain=HA	latest	Complete Genome	14	93.33	0.00
GCF_000010425.1	GCF_000010425.1	ASM1042v1	367928	Bifidobacterium adolescentis ATCC 15703	strain=ATCC 15703	latest	Complete Genome	14	93.33	0.00
GCF_000010505.1	GCF_000010505.1	ASM1050v1	431947	Porphyromonas gingivalis ATCC 33277	strain=ATCC 33277	latest	Complete Genome	14	93.33	0.00
GCF_000010525.1	GCF_000010525.1	ASM1052v1	438753	Azorhizobium caulinodans ORS 571	strain=ORS 571	latest	Complete Genome	14	93.33	0.00
GCF_000010605.1	GCF_000010605.1	ASM1060v1	455632	Streptomyces griseus subsp. griseus NBRC 13350	strain=NBRC 13350	latest	Complete Genome	14	93.33	0.00
GCF_000010625.1	GCF_000010625.1	ASM1062v1	449447	Microcystis aeruginosa NIES-843	strain=NIES-843	latest	Complete Genome	14	93.33	0.00
GCF_000010665.1	GCF_000010665.1	ASM1066v1	573370	Desulfovibrio magneticus RS-1	strain=RS-1	latest	Complete Genome	14	93.33	0.00
GCF_000010785.1	GCF_000010785.1	ASM1078v1	608538	Hydrogenobacter thermophilus TK-6	strain=TK-6	latest	Complete Genome	14	93.33	0.00
GCF_000010985.1	GCF_000010985.1	ASM1098v1	639282	Deferribacter desulfuricans SSM1	strain=SSM1	latest	Complete Genome	14	93.33	0.00
GCF_000011025.1	GCF_000011025.1	ASM1102v1	680646	Rothia mucilaginosa DY-18	strain=DY-18	latest	Complete Genome	14	93.33	0.00
GCF_000011105.1	GCF_000011105.1	ASM1110v1	70601	Pyrococcus horikoshii OT3	strain=OT3	latest	Complete Genome	14	93.33	0.00
GCF_000011185.1	GCF_000011185.1	ASM1118v1	273116	Thermoplasma volcanium GSS1	strain=GSS1	latest	Complete Genome	13	86.67	0.00
GCF_000011205.1	GCF_000011205.1	ASM1120v1	273063	Sulfurisphaera tokodaii str. 7	strain=7	latest	Complete Genome	14	93.33	0.00
GCF_000011225.1	GCF_000011225.1	ASM1122v1	272633	Mycoplasma penetrans HF-2	strain=HF-2	latest	Complete Genome	14	93.33	0.00
GCF_000011305.1	GCF_000011305.1	ASM1130v1	196164	Corynebacterium efficiens YS-314	strain=YS-314	latest	Complete Genome	14	93.33	0.00
GCF_000011245.1	GCF_000011245.1	ASM1124v1	221109	Oceanobacillus iheyensis HTE831	strain=HTE831	latest	Complete Genome	14	93.33	0.00
GCF_000011465.1	GCF_000011465.1	ASM1146v1	59919	Prochlorococcus marinus subsp. pastoris str. CCMP1986	strain=MED4	latest	Complete Genome	14	93.33	0.00
GCF_000011485.1	GCF_000011485.1	ASM1148v1	74547	Prochlorococcus marinus str. MIT 9313	strain=MIT9313	latest	Complete Genome	14	93.33	0.00
GCF_000011685.1	GCF_000011685.1	ASM1168v1	290633	Gluconobacter oxydans 621H	strain=621H	latest	Complete Genome	14	93.33	0.00
GCF_000011645.1	GCF_000011645.1	ASM1164v1	279010	Bacillus licheniformis DSM 13 = ATCC 14580	strain=ATCC 14580; DSM 13	latest	Complete Genome	14	93.33	0.00
GCF_000011905.1	GCF_000011905.1	ASM1190v1	243164	Dehalococcoides mccartyi 195	strain=195	latest	Complete Genome	14	93.33	0.00
GCF_000011965.2	GCF_000011965.2	ASM1196v2	246200	Ruegeria pomeroyi DSS-3	strain=DSS-3	latest	Complete Genome	14	93.33	0.00
GCF_000012085.2	GCF_000012085.2	ASM1208v2	314724	Borrelia turicatae 91E135	strain=91E135	latest	Complete Genome	14	93.33	0.00
GCF_000012145.1	GCF_000012145.1	ASM1214v1	315456	Rickettsia felis URRWXCal2	strain=URRWXCal2; California 2	latest	Complete Genome	14	93.33	0.00
GCF_000012225.1	GCF_000012225.1	ASM1222v1	322098	Aster yellows witches'-broom phytoplasma AYWB	NA	latest	Complete Genome	14	93.33	0.00
GCF_000012285.1	GCF_000012285.1	ASM1228v1	330779	Sulfolobus acidocaldarius DSM 639	strain=DSM 639	latest	Complete Genome	14	93.33	0.00
GCF_000012305.1	GCF_000012305.1	ASM1230v1	259536	Psychrobacter arcticus 273-4	strain=273-4	latest	Complete Genome	14	93.33	0.00
GCF_000012385.1	GCF_000012385.1	ASM1238v1	336407	Rickettsia bellii RML369-C	strain=RML369-C	latest	Complete Genome	14	93.33	0.00
GCF_000012325.1	GCF_000012325.1	ASM1232v1	167879	Colwellia psychrerythraea 34H	strain=34H; BAA-681	latest	Complete Genome	14	93.33	0.00
GCF_000012405.1	GCF_000012405.1	ASM1240v1	269800	Thermobifida fusca YX	strain=YX	latest	Complete Genome	14	93.33	0.00
GCF_000012465.1	GCF_000012465.1	ASM1246v1	59920	Prochlorococcus marinus str. NATL2A	strain=NATL2A	latest	Complete Genome	14	93.33	0.00
GCF_000012425.1	GCF_000012425.1	ASM1242v1	159087	Dechloromonas aromatica RCB	strain=RCB	latest	Complete Genome	14	93.33	0.00
GCF_000012485.1	GCF_000012485.1	ASM1248v1	319225	Pelodictyon luteolum DSM 273	strain=DSM 273	latest	Complete Genome	13	86.67	0.00
GCF_000012545.1	GCF_000012545.1	ASM1254v1	339860	Methanosphaera stadtmanae DSM 3091	strain=DSM 3091	latest	Complete Genome	14	93.33	0.00
GCF_000012565.1	GCF_000012565.1	ASM1256v1	269484	Ehrlichia canis str. Jake	strain=Jake	latest	Complete Genome	14	93.33	0.00
GCF_000012585.1	GCF_000012585.1	ASM1258v1	340177	Chlorobium chlorochromatii CaD3	strain=CaD3	latest	Complete Genome	14	93.33	0.00
GCF_000012605.1	GCF_000012605.1	ASM1260v1	317025	Hydrogenovibrio crunogenus XCL-2	strain=XCL-2	latest	Complete Genome	14	93.33	0.00
GCF_000012645.1	GCF_000012645.1	ASM1264v1	74546	Prochlorococcus marinus str. MIT 9312	strain=MIT 9312	latest	Complete Genome	14	93.33	0.00
GCF_000012665.1	GCF_000012665.1	ASM1266v1	207559	Desulfovibrio alaskensis G20	strain=G20	latest	Complete Genome	14	93.33	0.00
GCF_000012685.1	GCF_000012685.1	ASM1268v1	246197	Myxococcus xanthus DK 1622	strain=DK 1622	latest	Complete Genome	14	93.33	0.00
GCF_000012745.1	GCF_000012745.1	ASM1274v1	292415	Thiobacillus denitrificans ATCC 25259	strain=ATCC 25259	latest	Complete Genome	14	93.33	0.00
GCF_000012725.1	GCF_000012725.1	ASM1272v1	323098	Nitrobacter winogradskyi Nb-255	strain=Nb-255	latest	Complete Genome	14	93.33	0.00
GCF_000012765.1	GCF_000012765.1	ASM1276v1	340047	Mycoplasma capricolum subsp. capricolum ATCC 27343	strain=ATCC 27343	latest	Complete Genome	14	93.33	0.00
GCF_000012805.1	GCF_000012805.1	ASM1280v1	323261	Nitrosococcus oceani ATCC 19707	strain=ATCC 19707	latest	Complete Genome	14	93.33	0.00
GCF_000012825.1	GCF_000012825.1	ASM1282v1	435590	Bacteroides vulgatus ATCC 8482	strain=ATCC 8482	latest	Complete Genome	14	93.33	0.00
GCF_000012865.1	GCF_000012865.1	ASM1286v1	246194	Carboxydothermus hydrogenoformans Z-2901	strain=Z-2901	latest	Complete Genome	14	93.33	0.00
GCF_000012845.1	GCF_000012845.1	ASM1284v1	435591	Parabacteroides distasonis ATCC 8503	strain=ATCC 8503	latest	Complete Genome	14	93.33	0.00
GCF_000012885.1	GCF_000012885.1	ASM1288v1	338963	Pelobacter carbinolicus DSM 2380	strain=DSM 2380	latest	Complete Genome	14	93.33	0.00
GCF_000012965.1	GCF_000012965.1	ASM1296v1	326298	Sulfurimonas denitrificans DSM 1251	strain=DSM 1251	latest	Complete Genome	14	93.33	0.00
GCF_000012925.1	GCF_000012925.1	ASM1292v1	269799	Geobacter metallireducens GS-15	strain=GS-15	latest	Complete Genome	14	93.33	0.00
GCF_000012985.1	GCF_000012985.1	ASM1298v1	349521	Hahella chejuensis KCTC 2396	strain=KCTC 2396	latest	Complete Genome	14	93.33	0.00
GCF_000013005.1	GCF_000013005.1	ASM1300v1	314225	Erythrobacter litoralis HTCC2594	strain=HTCC2594	latest	Complete Genome	14	93.33	0.00
GCF_000013125.1	GCF_000013125.1	ASM1312v1	212042	Anaplasma phagocytophilum str. HZ	strain=HZ	latest	Complete Genome	14	93.33	0.00
GCF_000013025.1	GCF_000013025.1	ASM1302v1	228405	Hyphomonas neptunium ATCC 15444	strain=ATCC 15444	latest	Complete Genome	14	93.33	0.00
GCF_000013145.1	GCF_000013145.1	ASM1314v1	205920	Ehrlichia chaffeensis str. Arkansas	strain=Arkansas	latest	Complete Genome	14	93.33	0.00
GCF_000013165.1	GCF_000013165.1	ASM1316v1	222891	Neorickettsia sennetsu str. Miyayama	strain=Miyayama	latest	Complete Genome	14	93.33	0.00
GCF_000013285.1	GCF_000013285.1	ASM1328v1	195103	Clostridium perfringens ATCC 13124	strain=ATCC 13124	latest	Complete Genome	14	93.33	0.00
GCF_000013345.1	GCF_000013345.1	ASM1334v1	106370	Frankia casuarinae	strain=CcI3	latest	Complete Genome	14	93.33	0.00
GCF_000013325.1	GCF_000013325.1	ASM1332v1	279238	Novosphingobium aromaticivorans DSM 12444	strain=DSM 12444	latest	Complete Genome	14	93.33	0.00
GCF_000013365.1	GCF_000013365.1	ASM1336v1	316058	Rhodopseudomonas palustris HaA2	strain=HaA2	latest	Complete Genome	14	93.33	0.00
GCF_000013405.1	GCF_000013405.1	ASM1340v1	56780	Syntrophus aciditrophicus SB	strain=SB	latest	Complete Genome	14	93.33	0.00
GCF_000013445.1	GCF_000013445.1	ASM1344v1	323259	Methanospirillum hungatei JF-1	strain=JF-1	latest	Complete Genome	14	93.33	0.00
GCF_000013605.1	GCF_000013605.1	ASM1360v1	338969	Rhodoferax ferrireducens T118	strain=DSM 15236	latest	Complete Genome	14	93.33	0.00
GCF_000013645.1	GCF_000013645.1	ASM1364v1	266265	Paraburkholderia xenovorans LB400	strain=LB400	latest	Complete Genome	14	93.33	0.00
GCF_000013665.1	GCF_000013665.1	ASM1366v1	203122	Saccharophagus degradans 2-40	strain=2-40	latest	Complete Genome	14	93.33	0.00
GCF_000013725.1	GCF_000013725.1	ASM1372v1	259564	Methanococcoides burtonii DSM 6242	strain=DSM 6242	latest	Complete Genome	14	93.33	0.00
GCF_000013745.1	GCF_000013745.1	ASM1374v1	316056	Rhodopseudomonas palustris BisB18	strain=BisB18	latest	Complete Genome	14	93.33	0.00
GCF_000013765.1	GCF_000013765.1	ASM1376v1	318161	Shewanella denitrificans OS217	strain=OS217	latest	Complete Genome	14	93.33	0.00
GCF_000013885.1	GCF_000013885.1	ASM1388v1	323097	Nitrobacter hamburgensis X14	strain=X14	latest	Complete Genome	14	93.33	0.00
GCF_000013945.1	GCF_000013945.1	ASM1394v1	355276	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	strain=L550	latest	Complete Genome	14	93.33	0.00
GCF_000013985.1	GCF_000013985.1	ASM1398v1	317655	Sphingopyxis alaskensis RB2256	strain=RB2256	latest	Complete Genome	14	93.33	0.00
GCF_000014025.1	GCF_000014025.1	ASM1402v1	367737	Arcobacter butzleri RM4018	strain=RM4018	latest	Complete Genome	14	93.33	0.00
GCF_000014125.1	GCF_000014125.1	ASM1412v1	386415	Clostridium novyi NT	strain=NT	latest	Complete Genome	14	93.33	0.00
GCF_000014045.1	GCF_000014045.1	ASM1404v1	375451	Roseobacter denitrificans OCh 114	strain=OCh 114	latest	Complete Genome	14	93.33	0.00
GCF_000014145.1	GCF_000014145.1	ASM1414v1	269798	Cytophaga hutchinsonii ATCC 33406	strain=ATCC 33406	latest	Complete Genome	14	93.33	0.00
GCF_000014185.1	GCF_000014185.1	ASM1418v1	266117	Rubrobacter xylanophilus DSM 9941	strain=DSM 9941	latest	Complete Genome	14	93.33	0.00
GCF_000014225.1	GCF_000014225.1	ASM1422v1	342610	Pseudoalteromonas atlantica T6c	strain=T6c	latest	Complete Genome	14	93.33	0.00
GCF_000014265.1	GCF_000014265.1	ASM1426v1	203124	Trichodesmium erythraeum IMS101	strain=IMS101	latest	Complete Genome	14	93.33	0.00
GCF_000014285.2	GCF_000014285.2	ASM1428v2	391165	Granulibacter bethesdensis CGDNIH1	strain=CGDNIH1	latest	Complete Genome	14	93.33	0.00
GCF_000014345.1	GCF_000014345.1	ASM1434v1	293613	Rickettsia canadensis str. McKiel	strain=McKiel	latest	Complete Genome	14	93.33	0.00
GCF_000014385.1	GCF_000014385.1	ASM1438v1	203123	Oenococcus oeni PSU-1	strain=PSU-1	latest	Complete Genome	14	93.33	0.00
GCF_000014425.1	GCF_000014425.1	ASM1442v1	324831	Lactobacillus gasseri ATCC 33323 = JCM 1131	strain=ATCC 33323	latest	Complete Genome	14	93.33	0.00
GCF_000014445.1	GCF_000014445.1	ASM1444v1	203120	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293	strain=ATCC 8293	latest	Complete Genome	14	93.33	0.00
GCF_000014465.1	GCF_000014465.1	ASM1446v1	387344	Lactobacillus brevis ATCC 367	strain=ATCC 367	latest	Complete Genome	14	93.33	0.00
GCF_000014505.1	GCF_000014505.1	ASM1450v1	278197	Pediococcus pentosaceus ATCC 25745	strain=ATCC 25745	latest	Complete Genome	14	93.33	0.00
GCF_000014725.1	GCF_000014725.1	ASM1472v1	335541	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	strain=Goettingen G311	latest	Complete Genome	14	93.33	0.00
GCF_000014705.1	GCF_000014705.1	ASM1470v1	318167	Shewanella frigidimarina NCIMB 400	strain=NCIMB 400	latest	Complete Genome	14	93.33	0.00
GCF_000014565.1	GCF_000014565.1	ASM1456v1	101510	Rhodococcus jostii RHA1	strain=RHA1	latest	Complete Genome	14	93.33	0.00
GCF_000014745.1	GCF_000014745.1	ASM1474v1	394221	Maricaulis maris MCS10	strain=MCS10	latest	Complete Genome	14	93.33	0.00
GCF_000014765.1	GCF_000014765.1	ASM1476v1	335283	Nitrosomonas eutropha C91	strain=C91	latest	Complete Genome	14	93.33	0.00
GCF_000014785.1	GCF_000014785.1	ASM1478v1	187272	Alkalilimnicola ehrlichii MLHE-1	strain=MLHE-1	latest	Complete Genome	14	93.33	0.00
GCF_000014825.1	GCF_000014825.1	ASM1482v1	316055	Rhodopseudomonas palustris BisA53	strain=BisA53	latest	Complete Genome	14	93.33	0.00
GCF_000014865.1	GCF_000014865.1	ASM1486v1	156889	Magnetococcus marinus MC-1	strain=MC-1	latest	Complete Genome	14	93.33	0.00
GCF_000014925.1	GCF_000014925.1	ASM1492v1	290340	Paenarthrobacter aurescens TC1	strain=TC1	latest	Complete Genome	14	93.33	0.00
GCF_000014885.1	GCF_000014885.1	ASM1488v1	225849	Shewanella piezotolerans WP3	strain=WP3	latest	Complete Genome	13	86.67	0.00
GCF_000014965.1	GCF_000014965.1	ASM1496v1	335543	Syntrophobacter fumaroxidans MPOB	strain=MPOB	latest	Complete Genome	14	93.33	0.00
GCF_000015025.1	GCF_000015025.1	ASM1502v1	351607	Acidothermus cellulolyticus 11B	strain=11B; ATCC 43068	latest	Complete Genome	14	93.33	0.00
GCF_000015125.1	GCF_000015125.1	ASM1512v1	290317	Chlorobium phaeobacteroides DSM 266	strain=DSM 266	latest	Complete Genome	14	93.33	0.00
GCF_000015045.1	GCF_000015045.1	ASM1504v1	338966	Pelobacter propionicus DSM 2379	strain=DSM 2379	latest	Complete Genome	14	93.33	0.00
GCF_000015245.1	GCF_000015245.1	ASM1524v1	326297	Shewanella amazonensis SB2B	strain=SB2B	latest	Complete Genome	14	93.33	0.00
GCF_000015145.1	GCF_000015145.1	ASM1514v1	415426	Hyperthermus butylicus DSM 5456	strain=DSM 5456	latest	Complete Genome	14	93.33	0.00
GCF_000015285.1	GCF_000015285.1	ASM1528v1	357804	Psychromonas ingrahamii 37	strain=37	latest	Complete Genome	14	93.33	0.00
GCF_000015305.1	GCF_000015305.1	ASM1530v1	350058	Mycolicibacterium vanbaalenii PYR-1	strain=PYR-1	latest	Complete Genome	14	93.33	0.00
GCF_000015445.1	GCF_000015445.1	ASM1544v1	360095	Bartonella bacilliformis KC583	strain=KC583; ATCC 35685	latest	Complete Genome	14	93.33	6.67
GCF_000015345.1	GCF_000015345.1	ASM1534v1	246195	Dichelobacter nodosus VCS1703A	strain=VCS1703A	latest	Complete Genome	12	80.00	0.00
GCF_000015505.1	GCF_000015505.1	ASM1550v1	365044	Polaromonas naphthalenivorans CJ2	strain=CJ2	latest	Complete Genome	14	93.33	0.00
GCF_000015565.1	GCF_000015565.1	ASM1556v1	391735	Verminephrobacter eiseniae EF01-2	strain=EF01-2	latest	Complete Genome	14	93.33	0.00
GCF_000015645.1	GCF_000015645.1	ASM1564v1	146891	Prochlorococcus marinus str. AS9601	strain=AS9601	latest	Complete Genome	14	93.33	0.00
GCF_000015585.1	GCF_000015585.1	ASM1558v1	349124	Halorhodospira halophila SL1	strain=SL1	latest	Complete Genome	14	93.33	0.00
GCF_000015665.1	GCF_000015665.1	ASM1566v1	167542	Prochlorococcus marinus str. MIT 9515	strain=MIT 9515	latest	Complete Genome	14	93.33	0.00
GCF_000015765.1	GCF_000015765.1	ASM1576v1	410358	Methanocorpusculum labreanum Z	strain=Z	latest	Complete Genome	14	93.33	0.00
GCF_000015745.1	GCF_000015745.1	ASM1574v1	420246	Geobacillus thermodenitrificans NG80-2	strain=NG80-2	latest	Complete Genome	14	93.33	0.00
GCF_000015725.1	GCF_000015725.1	ASM1572v1	420662	Methylibium petroleiphilum PM1	strain=PM1	latest	Complete Genome	14	93.33	0.00
GCF_000015825.1	GCF_000015825.1	ASM1582v1	368407	Methanoculleus marisnigri JR1	strain=JR1	latest	Complete Genome	14	93.33	0.00
GCF_000015865.1	GCF_000015865.1	ASM1586v1	203119	Hungateiclostridium thermocellum ATCC 27405	strain=ATCC 27405	latest	Complete Genome	14	93.33	0.00
GCF_000016085.1	GCF_000016085.1	ASM1608v1	290318	Chlorobium phaeovibrioides DSM 265	strain=DSM 265	latest	Complete Genome	14	93.33	0.00
GCF_000016065.1	GCF_000016065.1	ASM1606v1	323850	Shewanella loihica PV-4	strain=PV-4	latest	Complete Genome	14	93.33	0.00
GCF_000016165.1	GCF_000016165.1	ASM1616v1	349161	Desulfotomaculum reducens MI-1	strain=MI-1	latest	Complete Genome	14	93.33	0.00
GCF_000016185.1	GCF_000016185.1	ASM1618v1	414684	Rhodospirillum centenum SW	strain=SW; ATCC 51521	latest	Complete Genome	14	93.33	0.00
GCF_000016345.1	GCF_000016345.1	ASM1634v1	312153	Polynucleobacter asymbioticus QLW-P1DMWA-1	strain=QLW-P1DMWA-1	latest	Complete Genome	14	93.33	0.00
GCF_000016285.1	GCF_000016285.1	ASM1628v1	311402	Agrobacterium vitis S4	strain=S4	latest	Complete Genome	14	93.33	0.00
GCF_000016405.1	GCF_000016405.1	ASM1640v1	349102	Rhodobacter sphaeroides ATCC 17025	strain=ATCC 17025	latest	Complete Genome	14	93.33	0.00
GCF_000016425.1	GCF_000016425.1	ASM1642v1	369723	Salinispora tropica CNB-440	strain=CNB-440	latest	Complete Genome	14	93.33	0.00
